1.72770575832736V,0.103853728089669mA
1.7356528303749V,0.165513756683491mA
1.7421791004728V,0.243031890870474mA
1.74653208431079V,0.393727042484556mA
1.75380960668245V,0.587012695216135mA
1.76000038761531V,0.823057035058166mA
1.77284375816887V,1.12088694799459mA
1.79005967098524V,1.60719087271792mA
1.80905511811024V,2.15775377772823mA
1.8359445962094V,2.86147439164937mA
1.87059611472958V,3.82667472463576mA
1.90856821902663V,5.16099313273519mA
1.94915908913726V,6.90161171383278mA
1.99900989661521V,9.29065527557153mA
2.06962231656236V,12.3312916744568mA
2.14949467387684V,15.9365706221878mA
2.22674826537772V,20.8618377053952mA
2.29903688094094V,27.7775519841256mA
